idx,ts,mode,s1,s2,s3,airspeed
000,0,GROUND,0.8,0.9,0.7,0
001,1000,TAKEOFF,5.8,5.9,5.7,30
002,1020,TAKEOFF,6.1,6.2,6.0,40
003,1040,TAKEOFF,6.5,6.6,6.4,55
004,1060,TAKEOFF,7.0,7.1,6.9,70
005,1080,TAKEOFF,7.5,7.6,7.4,85
006,1100,TAKEOFF,8.0,8.1,7.9,95
007,1120,TAKEOFF,8.5,8.6,8.4,105
008,1140,TAKEOFF,8.9,9.0,8.8,115
009,1160,TAKEOFF,9.2,9.3,9.1,120
010,1180,TAKEOFF,10.0,10.1,9.9,122
011,1200,TAKEOFF,11.0,11.1,10.9,123
012,1220,TAKEOFF,12.5,12.6,12.4,124
013,1240,TAKEOFF,14.0,14.1,13.9,125
014,1260,TAKEOFF,15.5,15.6,15.4,125
015,1280,TAKEOFF,16.2,16.3,16.1,125
016,1300,TAKEOFF,16.5,16.6,16.4,125
017,1320,TAKEOFF,16.8,16.9,16.7,124
018,1340,TAKEOFF,17.0,17.1,16.9,124
019,1360,TAKEOFF,17.2,17.3,17.1,123
020,1380,TAKEOFF,17.4,17.5,17.3,123
021,1400,TAKEOFF,17.6,17.7,17.5,122
022,1420,TAKEOFF,17.8,17.9,17.7,122
023,1440,TAKEOFF,18.0,18.1,17.9,121
024,1460,TAKEOFF,18.2,18.3,18.1,121
025,1480,TAKEOFF,18.5,18.6,18.4,120
026,1500,TAKEOFF,18.8,18.9,18.7,120
027,1520,TAKEOFF,19.0,19.1,18.9,120
028,1540,TAKEOFF,19.2,19.3,19.1,120
029,1560,TAKEOFF,19.5,19.6,19.4,120
030,1580,TAKEOFF,19.5,19.6,19.4,120
031,1600,TAKEOFF,19.5,19.6,19.4,120
032,1620,TAKEOFF,19.5,19.6,19.4,120
033,1640,TAKEOFF,15.0,15.1,14.9,120
034,1660,TAKEOFF,12.0,12.1,11.9,120
035,1680,TAKEOFF,9.0,9.1,8.9,120
036,1700,TAKEOFF,7.0,7.1,6.9,120
037,1720,TAKEOFF,6.0,6.1,5.9,120
038,1740,CLIMB,8.8,8.9,8.7,130
039,1760,CLIMB,8.4,8.5,8.3,138
040,1780,CLIMB,8.0,8.1,8.2,145
041,1800,CLIMB,7.6,7.7,7.9,148
042,1820,CLIMB,7.2,7.3,7.6,150
043,1840,CLIMB,6.9,7.0,7.4,152
044,1860,CLIMB,6.6,6.7,7.2,152
045,1880,CLIMB,6.3,6.4,7.1,151
046,1900,CLIMB,6.1,6.2,7.0,150
047,1920,CLIMB,5.9,6.0,6.9,150
048,1940,CRUISE,3.8,3.9,3.7,240
049,1960,CRUISE,3.6,3.7,3.5,245
050,1980,CRUISE,3.4,3.5,3.3,248
051,2000,CRUISE,3.3,3.4,3.2,250
052,2020,CRUISE,3.2,3.3,3.1,252
053,2040,CRUISE,3.1,3.4,3.2,251
054,2060,CRUISE,3.1,3.5,3.3,250
055,2080,CRUISE,5.0,5.1,4.9,248
056,2100,CRUISE,8.0,8.1,7.9,245
057,2120,CRUISE,12.0,12.1,11.9,240
058,2140,CRUISE,15.0,15.1,14.9,235
059,2160,CRUISE,17.0,17.1,16.9,230
060,2180,CRUISE,18.5,18.6,18.4,225
061,2200,CRUISE,19.5,19.6,19.4,220
062,2220,CRUISE,20.2,20.3,20.1,215
063,2240,CRUISE,20.5,20.6,20.4,210
064,2260,CRUISE,20.8,20.9,20.7,208
065,2280,CRUISE,21.0,21.1,20.9,206
066,2300,CRUISE,21.2,21.3,21.1,205
067,2320,CRUISE,21.4,21.5,21.3,204
068,2340,CRUISE,21.6,21.7,21.5,203
069,2360,CRUISE,21.8,21.9,21.7,202
070,2380,CRUISE,22.0,22.1,21.9,201
071,2400,CRUISE,22.2,22.3,22.1,200
072,2420,CRUISE,22.5,22.6,22.4,200
073,2440,CRUISE,22.8,22.9,22.7,200
074,2460,CRUISE,23.0,23.1,22.9,200
075,2480,CRUISE,23.2,23.3,23.1,200
076,2500,CRUISE,23.5,23.6,23.4,200
077,2520,CRUISE,23.5,23.6,23.4,200
078,2540,CRUISE,23.5,23.6,23.4,200
079,2560,CRUISE,23.5,23.6,23.4,200
080,2580,CRUISE,23.5,23.6,23.4,200
081,2600,CRUISE,23.5,23.6,23.4,200
082,2620,CRUISE,23.5,23.6,23.4,200
083,2640,CRUISE,23.5,23.6,23.4,200
084,2660,CRUISE,20.0,20.1,19.9,210
085,2680,CRUISE,16.0,16.1,15.9,220
086,2700,CRUISE,12.0,12.1,11.9,230
087,2720,CRUISE,8.0,8.1,7.9,240
088,2740,CRUISE,5.0,5.1,4.9,248
089,2760,CRUISE,3.5,3.6,3.4,250
090,2780,CRUISE,3.2,3.3,3.1,250
091,2800,LANDING,4.0,4.1,3.9,230
092,2820,LANDING,5.0,5.1,4.9,220
093,2840,LANDING,6.5,6.6,6.4,200
094,2860,LANDING,8.0,8.1,7.9,180
095,2880,LANDING,10.0,10.1,9.9,160
096,2900,LANDING,12.0,12.1,11.9,140
097,2920,LANDING,14.0,14.1,13.9,130
098,2940,LANDING,16.0,16.1,15.9,120
099,2960,LANDING,17.0,17.1,16.9,115
100,2980,LANDING,17.8,17.9,17.7,110
101,3000,LANDING,18.5,18.6,18.4,105
102,3020,LANDING,19.0,19.1,18.9,100
103,3040,LANDING,19.5,19.6,19.4,95
104,3060,LANDING,20.0,20.1,19.9,92
105,3080,LANDING,20.5,20.6,20.4,90
106,3100,LANDING,21.0,21.1,20.9,88
107,3120,LANDING,21.5,21.6,21.4,85
108,3140,LANDING,22.0,22.1,21.9,83
109,3160,LANDING,22.0,22.1,21.9,82
110,3180,LANDING,22.0,22.1,21.9,81
111,3200,LANDING,22.0,22.1,21.9,80
112,3220,LANDING,22.0,22.1,21.9,79
113,3240,LANDING,22.0,22.1,21.9,78
114,3260,LANDING,22.0,22.1,21.9,77
115,3280,LANDING,22.0,22.1,21.9,76
116,3300,LANDING,22.0,22.1,21.9,75
117,3320,LANDING,22.0,22.1,21.9,74
118,3340,LANDING,22.0,22.1,21.9,73
119,3360,LANDING,22.0,22.1,21.9,72
120,3380,LANDING,22.0,22.1,21.9,71
121,3400,LANDING,22.0,22.1,21.9,70
122,3420,LANDING,18.0,18.1,17.9,80
123,3440,LANDING,14.0,14.1,13.9,90
124,3460,LANDING,10.0,10.1,9.9,70
125,3480,LANDING,7.0,7.1,6.9,50
126,3500,LANDING,4.0,4.1,3.9,30
127,3520,LANDING,2.0,2.1,1.9,10
128,3540,LANDING,1.0,1.1,1.0,0
